#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#
# Code organized by Kingdoms
#
e_laurentia;Laurentia;;;;;;;;;;;;;x
e_laurentian_adj;Laurentian;;;;;;;;;;;;;x
#
# Kingdom of North Erealis
k_north_erealis;North Erealis;;;;;;;;;;;;;x
k_north_erealis_adj;Nortealish;;;;;;;;;;;;;x
d_first_land;The First Lands;;;;;;;;;;;;;x
d_first_land_adj;Firstlander;;;;;;;;;;;;;x
d_second_land;The Second Lands;;;;;;;;;;;;;x
d_second_land_adj;Secondlander;;;;;;;;;;;;;x
#
# Kingdom of Antania
calugian;Calugian;;;;;;;;;;;;;x
k_peninsula;Antania;;;;;;;;;;;;;x
k_peninsula_adj;Antanian;;;;;;;;;;;;;x
d_border;The Border Marches;;;;;;;;;;;;;x
d_border_adj;Border March;;;;;;;;;;;;;x
d_main;Belzar;;;;;;;;;;;;;x
d_main_adj;Belzaran;;;;;;;;;;;;;x
d_north;The North;;;;;;;;;;;;;x
d_north_adj;Northern;;;;;;;;;;;;;x
d_west;The West;;;;;;;;;;;;;x
d_west_adj;Western;;;;;;;;;;;;;x
d_east;The East;;;;;;;;;;;;;x
d_east_adj;Eastern;;;;;;;;;;;;;x
