#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
northeastern;Northeastern;;;;;;;;;;;;;x
nikelene;Nikelene;;;;;;;;;;;;;x
akkalian;Akkalian;;;;;;;;;;;;;x
#
erealic;Erealic;;;;;;;;;;;;;x
ereal;Ereal;;;;;;;;;;;;;x
#
ishdadic;Ishdadic;;;;;;;;;;;;;x
ishdad;Ishdad;;;;;;;;;;;;;x
#
virimish;Virimish;;;;;;;;;;;;;x
virim;Virim;;;;;;;;;;;;;x
#
alzairite;Alzairite;;;;;;;;;;;;;x
alzairi;Alzairi;;;;;;;;;;;;;x
#
shirahine;Shirahine;;;;;;;;;;;;;x
shirahi;Shirahi;;;;;;;;;;;;;x
#
tchonfa;Tchonfa;;;;;;;;;;;;;x
east_tchonfa;East Tchonfa;;;;;;;;;;;;;x
west_tchonfa;West Tchonfa;;;;;;;;;;;;;x
#
undead_group;The Undead;;;;;;;;;;;;;x
undead;Undead;;;;;;;;;;;;;x
#
unterland;Unterland;;;;;;;;;;;;;x
unterlander;Unterlander;;;;;;;;;;;;;x
#
yeathish;Yeathish;;;;;;;;;;;;;x
yeath;Yeath;;;;;;;;;;;;;x
#
yesnushkine;Yesnushkine;;;;;;;;;;;;;x
yesni;Yesni;;;;;;;;;;;;;x
ushky;Ushky;;;;;;;;;;;;;x
#
bakeeshian;Bakeeshian;;;;;;;;;;;;;x
bakeeshi;Bakeeshi;;;;;;;;;;;;;x
#
centrocoastal;Centrocoastal;;;;;;;;;;;;;x
lakemen;Lakemen;;;;;;;;;;;;;x
#
dwarven;Dwarven;;;;;;;;;;;;;x
glacial_dwarf;Glacial Dwarf;;;;;;;;;;;;;x
highland_dwarf;Highland Dwarf;;;;;;;;;;;;;x
dune_dwarf;Dune Dwarf;;;;;;;;;;;;;x
#
goblinoid;Goblinoid;;;;;;;;;;;;;x
goblin;Goblin;;;;;;;;;;;;;x
orc;Orc;;;;;;;;;;;;;x
#
mandesh_sea;Mandesh Sea;;;;;;;;;;;;;x
makan;Makan;;;;;;;;;;;;;x
zubri;Zubri;;;;;;;;;;;;;x
gzabi;Gzabi;;;;;;;;;;;;;x
#
middelric;Middelric;;;;;;;;;;;;;x
middelrish;Middelrish;;;;;;;;;;;;;x
#
saurian;Saurian;;;;;;;;;;;;;x
lizardman;Lizardman;;;;;;;;;;;;;x
