#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#
# Code organized by Kingdoms
#
e_laurentia;Laurentia;;;;;;;;;;;;;x
e_laurentian_adj;Laurentian;;;;;;;;;;;;;x
#
# Kingdom of North Erealis
k_north_erealis;North Erealis;;;;;;;;;;;;;x
k_north_erealis_adj;Nortealish;;;;;;;;;;;;;x
d_first_land;The First Lands;;;;;;;;;;;;;x
d_first_land_adj;Firstlander;;;;;;;;;;;;;x
d_second_land;The Second Lands;;;;;;;;;;;;;x
d_second_land_adj;Secondlander;;;;;;;;;;;;;x
d_halfcoast;Halfcoast;;;;;;;;;;;;;x
d_halfcoast_adj;Halfcoastal;;;;;;;;;;;;;x
d_pertac;Pertac;;;;;;;;;;;;;x
d_pertac_adj;Pertacan;;;;;;;;;;;;;x
#
# Kingdom of Antania
calugian;Calugian;;;;;;;;;;;;;x
k_peninsula;Antania;;;;;;;;;;;;;x
k_peninsula_adj;Antanian;;;;;;;;;;;;;x
d_border;Margonum;;;;;;;;;;;;;x
d_border_adj;Margonan;;;;;;;;;;;;;x
d_main;Numeum;;;;;;;;;;;;;x
d_main_adj;Numean;;;;;;;;;;;;;x
d_north;Tarianum;;;;;;;;;;;;;x
d_north_adj;Tarianan;;;;;;;;;;;;;x
d_west;Greater Massia;;;;;;;;;;;;;x
d_west_adj;Greater Massian;;;;;;;;;;;;;x
d_east;Gordica;;;;;;;;;;;;;x
d_east_adj;Gordican;;;;;;;;;;;;;x
